Cust Key,Cust Name,Cust Address,Cust County,Cust City,Cust State,Cust Zip Code,Cust Region,Cust Since,Cust Type,Cust Gender,Cust Age,Age Group,Civil Status,Loyalty Program
1,Rosa Newton,418 Andrews Street,Orange,Costa Mesa,California,92628,West,2021-06-06,Individual,Female,40,36-55,Single,1
2,Elijah Drake,167 Spruce Hill,Hidalgo,Edinburg,Texas,78539,Southwest,2012-03-25,Individual,Male,62,56+,Divorced,0
3,Erick Mooney,512 Bacon Hill,Clark,Vancouver,Washington,98668,West,2015-01-29,Individual,Male,45,36-55,Widowed,1
4,Domenic Cooper,599 Carolina Hill,El Paso,El Paso,Texas,79910,Southwest,2004-12-23,Individual,Male,73,56+,Single,0
5,Eduardo Rixon,364 Hamilton Lane,Muscogee,Columbus,Georgia,31908,South,2009-07-08,Individual,Male,27,18-35,Divorced,1
6,John Fox,396 Bishop Route,Douglas,Omaha,Nebraska,68108,Midwest,2010-10-16,Individual,Male,25,18-35,Divorced,1
7,Daria Griffiths,779 Fairview Alley,Contra Costa,Mountain View,California,94035,West,2008-10-05,Individual,Female,28,18-35,Divorced,0
8,Phillip Cattell,134 Black Friars Drive,Lancaster,Lincoln,Nebraska,68501,Midwest,2004-10-31,Individual,Male,84,56+,Single,0
9,Daria Bryson,636 Abourne Walk,Osage,Tulsa,Oklahoma,74107,Southwest,2010-08-30,Individual,Female,39,36-55,Widowed,1
11,Daniel Lomax,803 Addison Alley,Gaston,Gastonia,North Carolina,28052,South,2012-10-09,Individual,Male,62,56+,Widowed,0
12,Maya Owens,988 Bayberry Walk,Newport News City,Newport News,Virginia,23501,East,2012-05-13,Individual,Female,67,56+,Single,1
13,Natalie Mould,828 Cliff Street,Montgomery,Dayton,Ohio,45401,Midwest,2017-08-23,Individual,Female,23,18-35,Single,0
14,Goldie Speed,550 Lonsdale Pass,Los Angeles,South Gate,California,90280,West,2016-01-26,Individual,Female,71,56+,Divorced,1
15,Camila Dowson,211 Boldero Rue,Jefferson,Birmingham,Alabama,35203,South,2018-06-01,Individual,Female,28,18-35,Widowed,1
16,Enoch Eyres,299 Chart Boulevard,Sacramento,Sacramento,California,95813,West,2013-12-30,Individual,Male,30,18-35,Single,1
17,Matt Leigh,988 Kinglake Rue,Dallas,Dallas,Texas,75260,Southwest,2011-09-28,Individual,Male,42,36-55,Divorced,1
18,Barney Yang,508 Castle Tunnel,Contra Costa,Antioch,California,94509,West,2003-05-05,Individual,Male,35,18-35,Married,0
19,Tom Fall,507 Cheltenham Tunnel,Lubbock,Lubbock,Texas,79402,Southwest,2003-05-20,Individual,Male,81,56+,Single,0
20,Andie Oswald,538 Chestnut Walk,Los Angeles,Bellflower,California,90706,West,2005-08-17,Individual,Female,23,18-35,Widowed,1
21,Ronald Rogan,297 Kimberley Hill,Ramsey,St. Paul,Minnesota,55109,Midwest,2012-01-10,Individual,Male,29,18-35,Single,1
22,Rosalie Ebden,188 Arlington Hill,Dallas,Mesquite,Texas,75149,Southwest,2013-06-21,Individual,Female,42,36-55,Married,1
23,Owen Grady,458 Angela Rue,Bernalillo,Rio Rancho,New Mexico,87124,Southwest,2017-03-23,Individual,Male,43,36-55,Widowed,0
24,Mandy Lewis,688 Carltoun Walk,Hidalgo,Edinburg,Texas,78539,Southwest,2015-01-18,Individual,Female,25,18-35,Married,1
25,Kieth Morris,41 Bennett Grove,Camden,Camden,New Jersey,8101,East,2017-10-30,Individual,Male,33,18-35,Widowed,0
26,Bryon Fleming,665 Kilner Street,Lincoln,Sioux Falls,South Dakota,57104,Midwest,2003-05-07,Individual,Male,52,36-55,Widowed,1
27,Cedrick Gilmour,624 Tilson Boulevard,Fayette,Lexington-Fayette,Kentucky,40511,South,2016-04-20,Individual,Male,74,56+,Widowed,1
28,Jazmin Oswald,564 King Alley,Jefferson,Louisville,Kentucky,40231,South,2010-10-01,Individual,Female,51,36-55,Single,0
29,Harvey Reid,634 Arline Way,Bristol,Fall River,Massachusetts,2720,East,2020-12-17,Individual,Male,52,36-55,Single,0
30,Nicholas Appleton,325 Angel Vale,Los Angeles,Palmdale,California,93550,West,2010-10-16,Individual,Male,24,18-35,Single,1
31,Chadwick Baker,934 Bolton Walk,Sacramento,Sacramento,California,95813,West,2021-10-10,Individual,Male,56,56+,Married,0
32,Maxwell Tennant,582 Wager Alley,Lincoln,Sioux Falls,South Dakota,57104,Midwest,2014-03-16,Individual,Male,49,36-55,Divorced,0
33,Domenic Ianson,813 Fairview Avenue,Travis,Austin,Texas,78710,Southwest,2022-03-12,Individual,Male,25,18-35,Single,1
34,Ronald Tanner,850 Victorian Road,Norfolk,Quincy,Massachusetts,2169,East,2014-01-25,Individual,Male,40,36-55,Divorced,1
35,Isabel Grant,94 Byland Boulevard,Fulton,Roswell,Georgia,30075,South,2020-09-10,Individual,Female,75,56+,Widowed,1
36,Caleb Dixon,418 Arthur Way,Alameda,Oakland,California,94612,West,2021-03-12,Individual,Male,30,18-35,Widowed,1
38,Chad Parsons,781 Bendall Avenue,Los Angeles,Bellflower,California,90706,West,2006-08-30,Individual,Male,21,18-35,Divorced,0
